,RN,RY,DN,DY,total
clogging,0.0,0.0,0.00687285223368,0.0,2.0
crimes,0.0,0.0,0.0137457044674,0.0,4.0
systethe,0.0,0.0,0.00687285223368,0.0,2.0
-regardless,0.0,0.0,0.00687285223368,0.0,2.0
validity,0.0,0.0,0.00687285223368,0.0,2.0
contrasted,0.0,0.0,0.00687285223368,0.0,2.0
disenfranchisement,0.0,0.0,0.0103092783505,0.0,3.0
mock,0.0,0.0,0.00687285223368,0.0,2.0
religions,0.0,0.0,0.0103092783505,0.0,3.0
deepest,0.0,0.0,0.00687285223368,0.0,2.0
dc,0.0,0.0,0.0721649484536,0.0,21.0
preferred,0.0,0.0,0.00687285223368,0.0,2.0
covering,0.0,0.0,0.0103092783505,0.0,3.0
humanist,0.0,0.0,0.0137457044674,0.0,4.0
discussions,0.0,0.0,0.0103092783505,0.0,3.0
handful,0.0,0.0,0.00687285223368,0.0,2.0
disservice,0.0,0.0,0.00687285223368,0.0,2.0
kitchen,0.0,0.0,0.00687285223368,0.0,2.0
negotiation,0.0,0.0,0.0137457044674,0.0,4.0
advancement,0.0,0.0,0.0137457044674,0.0,4.0
concerning,0.0,0.0,0.0137457044674,0.0,4.0
jeopardized,0.0,0.0,0.0103092783505,0.0,3.0
faiths,0.0,0.0,0.00687285223368,0.0,2.0
hispanic,0.0,0.0,0.0171821305842,0.0,5.0
stringent,0.0,0.0,0.00687285223368,0.0,2.0
indigo,0.0,0.0,0.00687285223368,0.0,2.0
confusing,0.0,0.0,0.00687285223368,0.0,2.0
columbus,0.0,0.0,0.0103092783505,0.0,3.0
repository,0.0,0.0,0.00343642611684,0.0227272727273,2.0
graduated,0.0,0.0,0.00687285223368,0.0,2.0
wasting,0.0,0.0,0.0137457044674,0.0,4.0
pays,0.0,0.0,0.0137457044674,0.0227272727273,5.0
lowest,0.0,0.0,0.00687285223368,0.0,2.0
elderly,0.0,0.0,0.0103092783505,0.0454545454545,5.0
bypassing,0.0,0.0,0.00343642611684,0.0454545454545,3.0
inclusive,0.0,0.0,0.00687285223368,0.0,2.0
religiously,0.0,0.0,0.0103092783505,0.0,3.0
promised,0.0,0.0,0.00687285223368,0.0,2.0
negotiators,0.0,0.0,0.00687285223368,0.0,2.0
bellevue,0.0,0.0,0.00687285223368,0.0,2.0
concurrent,0.0,0.0,0.0103092783505,0.0,3.0
classmate,0.0,0.0,0.00687285223368,0.0,2.0
adamantly,0.0,0.0,0.00687285223368,0.0,2.0
honoring,0.0,0.0,0.00687285223368,0.0,2.0
brown,0.0,0.0,0.0309278350515,0.0,9.0
